text,intent
Papier,recycling
Consommation électrique trop haute,electricity
Papier,recycling
Verre,recycling
Consommation d'eau,water
C'est quoi GreenLife ?,about
Coucou,greeting
Score,score
Comment trier mes déchets ?,recycling
J'ai trop de factures d'élec,electricity
J'ai trop de factures d'élec,electricity
L'eau est précieuse,water
Consommation électrique trop haute,electricity
Recycler,recycling
Comment est calculé mon score ?,score
Comment économiser l'eau ?,water
Réduire le courant,electricity
À quoi sert ce projet ?,about
Où jeter le plastique ?,recycling
Litre d'eau,water
Pourquoi ce site ?,about
Ma facture d'eau est élevée,water
Ma facture d'eau est élevée,water
Consommation électrique trop haute,electricity
Résultat,score
J'ai trop de factures d'élec,electricity
Où jeter le plastique ?,recycling
Elec,electricity
Score,score
C'est quoi GreenLife ?,about
Déchets,recycling
Tri sélectif,recycling
Calcul du score,score
Recyclage,recycling
Bonjours,greeting
Pourquoi ce site ?,about
Hi,greeting
C'est quoi l'éco score ?,score
Score,score
Douche courte,water
Comment trier mes déchets ?,recycling
Est-ce que tu es là ?,greeting
Verre,recycling
Coucou,greeting
Score d'analyse,score
Réparer une fuite,water
Comment économiser de l'électricité ?,electricity
Comment économiser de l'électricité ?,electricity
Qui es-tu ?,about
Réparer une fuite,water
Salu,greeting
Comment est calculé mon score ?,score
Réparer une fuite,water
Salut assistant,greeting
Calcul du score,score
Salut assistant,greeting
Eteindre les lumières,electricity
À quoi sert ce projet ?,about
Réparer une fuite,water
C'est quoi l'objectif ?,about
Score,score
Raison,about
Pourquoi mon score est bas ?,score
Consommation électrique trop haute,electricity
C'est quoi GreenLife ?,about
Salu,greeting
Tri sélectif,recycling
Tri sélectif,recycling
Douche courte,water
Ampoules LED,electricity
Elec,electricity
Salut,greeting
Litre d'eau,water
J'ai trop de factures d'élec,electricity
Score d'analyse,score
J'ai trop de factures d'élec,electricity
Bonjours,greeting
À quoi sert ce projet ?,about
C'est quoi un watt ?,electricity
À quoi sert ce projet ?,about
Mon résultat,score
Consommation d'eau,water
Coucou,greeting
C'est quoi GreenLife ?,about
Recycler,recycling
Bonjour l'assistant,greeting
Pourquoi ?,about
C'est quoi un watt ?,electricity
J'ai trop de factures d'élec,electricity
Salut assistant,greeting
Score,score
L'eau est précieuse,water
À quoi sert ce projet ?,about
Résultat,score
Mon résultat,score
Ampoules LED,electricity
Est-ce que tu es là ?,greeting
À quoi sert ce projet ?,about
Comment économiser de l'électricité ?,electricity
Réparer une fuite,water
Recyclage,recycling
Hello,greeting
C'est quoi l'objectif ?,about
Consommation électrique trop haute,electricity
Comment économiser l'eau ?,water
Est-ce que tu es là ?,greeting
À quoi sert ce projet ?,about
Verre,recycling
C'est quoi un watt ?,electricity
Consommation d'eau,water
Salut,greeting
Comment économiser l'eau ?,water
C'est quoi l'objectif ?,about
Hey,greeting
Douche courte,water
Calcul du score,score
Papier,recycling
Comment est calculé mon score ?,score
Comment est calculé mon score ?,score
Résultat,score
Litre d'eau,water
Recycler,recycling
Résultat,score
Douche ou bain ?,water
J'ai trop de factures d'élec,electricity
Recyclage du verre,recycling
Hello,greeting
Est-ce que tu es là ?,greeting
C'est quoi l'éco score ?,score
Mon résultat,score
L'eau est précieuse,water
Est-ce que tu es là ?,greeting
Recycler,recycling
Comment économiser l'eau ?,water
Ma facture d'eau est élevée,water
Papier,recycling
L'eau est précieuse,water
Consommation électrique trop haute,electricity
Salut assistant,greeting
Hey,greeting
Pourquoi ce site ?,about
Résultat,score
Salut,greeting
Pourquoi ce site ?,about
Bonjours,greeting
C'est quoi GreenLife ?,about
Comment est calculé mon score ?,score
Score,score
Score,score
Consommation électrique trop haute,electricity
À quoi sert ce projet ?,about
Elec,electricity
Poubelle jaune,recycling
Score d'analyse,score
Plastique,recycling
Score d'analyse,score
Raison,about
Calcul du score,score
L'eau est précieuse,water
Water,water
Plastique,recycling
J'ai trop de factures d'élec,electricity
Comment est calculé mon score ?,score
Mon résultat,score
Qui es-tu ?,about
Pourquoi mon score est bas ?,score
C'est quoi l'éco score ?,score
C'est quoi GreenLife ?,about
Hello,greeting
Douche courte,water
C'est quoi GreenLife ?,about
Tri sélectif,recycling
Réparer une fuite,water
Comment est calculé mon score ?,score
Elec,electricity
Recycler,recycling
J'ai trop de factures d'élec,electricity
Litre d'eau,water
Bonjours,greeting
À quoi sert ce projet ?,about
Electricite,electricity
Poubelle jaune,recycling
Bonjour l'assistant,greeting
Salut assistant,greeting
Qui es-tu ?,about
Score,score
Qui es-tu ?,about
C'est quoi l'éco score ?,score
Qui es-tu ?,about
Recyclage du verre,recycling
Bonjour l'assistant,greeting
Water,water
Electricite,electricity
Score,score
Poubelle jaune,recycling
Hey,greeting
Pourquoi ?,about
L'eau est précieuse,water
Score,score
Score d'analyse,score
Consommation d'eau,water
Comment trier mes déchets ?,recycling
Bonjours,greeting
Comment trier mes déchets ?,recycling
Douche courte,water
Hey,greeting
Réduire le courant,electricity
Recycler,recycling
Comment économiser l'eau ?,water
Recyclage du verre,recycling
Déchets,recycling
Réparer une fuite,water
Salut,greeting
Coucou,greeting
Comment trier mes déchets ?,recycling
Consommation d'eau,water
Est-ce que tu es là ?,greeting
Électricité,electricity
Consommation électrique trop haute,electricity
Hello,greeting
À quoi sert ce projet ?,about
Où jeter le plastique ?,recycling
Comment économiser de l'électricité ?,electricity
À quoi sert ce projet ?,about
L'eau est précieuse,water
Plastique,recycling
Réduire le courant,electricity
Réparer une fuite,water
C'est quoi l'objectif ?,about
Salut assistant,greeting
Eteindre les lumières,electricity
Bonjour l'assistant,greeting
Pourquoi ?,about
Salut assistant,greeting
Salu,greeting
Ampoules LED,electricity
Pourquoi mon score est bas ?,score
C'est quoi un watt ?,electricity
J'ai trop de factures d'élec,electricity
Recyclage du verre,recycling
À quoi sert ce projet ?,about
Électricité,electricity
C'est quoi l'objectif ?,about
Elec,electricity
Ma facture d'eau est élevée,water
Comment est calculé mon score ?,score
Score d'analyse,score
Water,water
Comment trier mes déchets ?,recycling
Qui es-tu ?,about
Bonjour,greeting
Papier,recycling
L'eau est précieuse,water
Mon résultat,score
C'est quoi l'objectif ?,about
Pourquoi ce site ?,about
Pourquoi mon score est bas ?,score
Où jeter le plastique ?,recycling
Bonjours,greeting
Déchets,recycling
Hey,greeting
Tri sélectif,recycling
Consommation d'eau,water
Litre d'eau,water
Électricité,electricity
Hello,greeting
Pourquoi ?,about
Calcul du score,score
Consommation d'eau,water
C'est quoi l'éco score ?,score
Résultat,score
Comment économiser de l'électricité ?,electricity
J'ai trop de factures d'élec,electricity
Ma facture d'eau est élevée,water
Qui es-tu ?,about
Pourquoi ?,about
Score d'analyse,score
C'est quoi GreenLife ?,about
C'est quoi GreenLife ?,about
Ampoules LED,electricity
Bonjour l'assistant,greeting
Qui es-tu ?,about
Réparer une fuite,water
Salut assistant,greeting
Electricite,electricity
C'est quoi GreenLife ?,about
C'est quoi l'objectif ?,about
Hi,greeting
Verre,recycling
Papier,recycling
Recyclage,recycling
Hello,greeting
Déchets,recycling
Poubelle jaune,recycling
J'ai trop de factures d'élec,electricity
Raison,about
Comment économiser l'eau ?,water
Comment économiser de l'électricité ?,electricity
Ma facture d'eau est élevée,water
Recyclage,recycling
